"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @paulatooths: Happy #ChineseNewYear !!",FALSE,0,NA,2018-02-26 16:59:08,FALSE,NA,"968168564304658432",NA,"<a href=""http://www.google.com"" rel=""nofollow"">kendrafredoApplicationABC1</a>","kendrafredo",9,TRUE,FALSE,NA,NA
"2","RT @startups_observ: #Ecommerce: Chinese New Year by the numbers - https://t.co/z2xnNNFKYC  #ChineseNewYear2018 #ChineseNewYear #xinnianhao…",FALSE,0,NA,2018-02-26 16:58:22,FALSE,NA,"968168373614981120",NA,"<a href=""http://curationsuite.com"" rel=""nofollow"">CurationSuite</a>","CurationSuite",1,TRUE,FALSE,NA,NA
"3","RT @_Pehicc: @LoveDVoiceless @XHNews #chinesenewyear #YearoftheDog
No #decency whatsoever in #pairing #China n #dogs if not to #shout out l…",FALSE,0,NA,2018-02-26 16:56:31,FALSE,NA,"968167906310868997",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","IreneCoteGSD",12,TRUE,FALSE,NA,NA
"4","RT @LoveDVoiceless: @XHNews #ChineseNewYear 
#YearoftheDog 
#ChineseNewyear 

Can you #China people and #Chinese SCATTERED in many countrie…",FALSE,0,NA,2018-02-26 16:56:11,FALSE,NA,"968167824979054597",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","IreneCoteGSD",52,TRUE,FALSE,NA,NA
"5","#Ecommerce: Chinese New Year by the numbers - https://t.co/z2xnNNFKYC  #ChineseNewYear2018 #ChineseNewYear… https://t.co/m6EQWVtuiZ",FALSE,0,NA,2018-02-26 16:55:08,TRUE,NA,"968167558724636674",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","startups_observ",1,FALSE,FALSE,NA,NA
"6","<U+8C22><U+8C22> to Ms. Baltz and Ms. Shyr for a wonderful #ChineseNewYear #YearoftheDog Celebration! https://t.co/m2QsoPhfSo",FALSE,0,NA,2018-02-26 16:55:00,FALSE,NA,"968167526470508544",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","HAIS_ECHS",0,FALSE,FALSE,NA,NA
"7","#goodfortune #hkbank #central #chinesenewyear #miumiu_photographer #hongkongfemalephotographer… https://t.co/bc6816FyKu",FALSE,0,NA,2018-02-26 16:54:38,FALSE,NA,"968167433633755136",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","hamy1818",0,FALSE,FALSE,NA,NA
"8","RT @SHGames: We celebrated #ChineseNewYear at the studio today with a themed happy hour! #SHGviews https://t.co/LKuztpYdaa",FALSE,0,NA,2018-02-26 16:52:54,FALSE,NA,"968166995790368768",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","J_cash1",49,TRUE,FALSE,NA,NA
"9","Wisata kuliner Tionghoa di kampung ketandan.
#me #gongxifacai #february2018 #chinesenewyear… https://t.co/2oD5Ro9Vgy",FALSE,0,NA,2018-02-26 16:52:52,FALSE,NA,"968166990744563713",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","jojo_mustaf",0,FALSE,FALSE,"110.367518","-7.797532"
"10","Looking lovely! All set for the @bameipinclusive event tonight at @bakermckenzie! #chinesenewyear https://t.co/CZ8xEY3zm2",FALSE,0,NA,2018-02-26 16:52:09,FALSE,NA,"968166807449292800",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DeeSekar1",0,FALSE,FALSE,NA,NA
